record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9717195,30645,91731,GA
E,9717195,30646,520554,MI
E,9717195,30647,STA-T36490-C-001,NC
E,9717195,30648,20220245,PA
E,9717195,30649,00084123,TX
E,9717244,30650,520602,MI
E,9717253,30651,782200,CA
E,9717253,30652,20065631049,CO
E,9717253,30653,18802,NY
E,9717253,30654,7512,OH
E,9717294,30656,81085,MA
E,9717302,30657,20140171,PA
E,9717312,30659,13014855,MD
E,9717322,30660,1267583,CA
E,9717324,30661,1228510,CA
E,9717338,30662,227671,NY
E,9717342,30663,743393,CA
E,9717352,30664,200602669,AZ
E,9717353,30665,97995,MI
E,9717384,30668,1450178,CA
E,9717394,30669,00086885,TX
E,9717395,30670,61002,FL
E,9717416,31530,300890,NM
E,9717433,30674,17520,NY
E,9717439,30675,1448873,CA
E,9717443,30677,C00743609,NC
E,9717463,30680,842151,CA
E,9717464,30681,20185036196,CO
E,9717468,30683,83448,FL
E,9717469,30684,CC-22-00560,VA
E,9717483,30685,1447749,CA
E,9717496,30691,A29261,NY
E,9717498,30692,20220412,PA
E,9717503,30696,520944,MI
E,9717504,30697,0106642,WI
E,9717505,30698,1450033,CA
E,9717508,30700,1450194,CA
E,9717523,30702,923507,CA
E,9717535,30703,80796,FL
E,9717536,30704,1445824,CA
E,9717537,30705,751398463,MO
E,9717547,30708,20225043351,CO
E,9717556,30709,PAC-22-00043,VA
E,9717562,30710,341426,NM
E,9717564,30711,2022135,MI
E,9717568,30713,990208,CA
E,9717571,30714,83453,FL
E,9717577,30715,101200,AZ
E,9717612,30717,840154,CA
E,9717615,30718,C00787945,FD
E,9717618,30719,1450236,CA
E,9717630,30720,881248,CA
E,9717631,30721,52148,NM
E,9717636,30722,341426,NM
E,9717647,30725,741504,CA
E,9717649,30726,1291923,CA
E,9717658,30727,82-157999,MI
E,9717662,30728,00086898,TX
E,9717688,30729,PAC-22-00054,VA
E,9717698,30730,780657,CA
E,9717700,30731,C222224,MO
E,9717701,30732,1225795,CA
E,9717702,30733,1315969,CA
E,9717709,30734,22138,OR
E,9717722,30736,1299419,CA
E,9717734,30740,1473,NY
E,9717739,30741,22259,OR
E,9717749,30742,C222222,MO
E,9717754,30743,79682,FL
E,9717780,30746,1450820,CA
E,9717806,30747,222,GA
E,9717835,30748,222,GA
E,9717838,30749,00086756,TX
E,9717848,30750,883620684,MI
E,9717858,30751,1451134,CA
E,9717859,30752,41281,MN
E,9717863,30755,STA-7Y2CI2-C-001,NC
E,9717864,30756,86-3918564,FD
E,9717867,30757,C-2022-099,MI
E,9717877,30758,01012550,MD
E,9717879,30760,1350983,CA
E,9717886,31024,1449146,CA
E,9717923,30762,1436158,CA
E,9717925,30763,1276264,CA
E,9717932,30765,1387315,CA
E,9717935,30766,7211,GA
E,9717936,30767,5494,IN
E,9717949,30768,157964,MI
E,9717956,30769,1378257,CA
E,9717970,30770,C00822833,FD
E,9717972,30771,831498,CA
E,9717978,30772,1444448,CA
E,9718002,30773,1450453,CA
E,9718003,30774,1450878,CA
E,9718004,30775,1450263,CA
E,9718005,30776,0501630,WI
E,9718010,30777,SEATFF119,WA
E,9718025,30778,1442623,CA
E,9718095,30782,920780,CA
E,9718099,30783,962938,CA
E,9718101,30784,2614403,IL
E,9718102,31001,227696,NY
E,9718105,30786,1447641,CA
E,9718122,30788,1450785,CA
E,9718136,30789,1451729,CA
E,9718152,30790,82-156915,MI
E,9718188,30792,22387,OR
E,9718194,30793,38644-10,IL
E,9718196,30794,20075622982,CO
E,9718199,30795,C00754069,FD
E,9718206,30796,284658,DE
E,9718215,30797,41310,MN
E,9718223,30798,38670,IL
E,9718230,30799,1442914,CA
E,9718241,30800,88-2869208,IN
E,9718244,30801,Pending,CA
E,9718260,30802,SWGA50246,IA
E,9718265,30803,C00823666,FD
E,9718286,30804,217390,NY
E,9718288,30805,00086196,TX
E,9718311,30806,80699,FL
E,9718312,30807,2566,FL
E,9718313,30808,80528,FL
E,9718324,30809,1451664,CA
E,9718328,30810,00086605,TX
E,9718330,30811,83431,FL
E,9718348,30813,15103,OR
E,9718353,30814,C001018,MO
E,9718367,30815,PENDING,CA
E,9718368,30816,C222225,MO
E,9718372,30818,101226,AZ
E,9718381,30821,743486,CA
E,9718383,30822,1450490,CA
E,9718390,30823,418617,KY
E,9718391,30824,2053906061,NJ
E,9718393,30825,1452725,CA
E,9718408,30826,101231,AZ
E,9718410,30827,68166,TX
E,9718412,30828,-,ND
E,9718418,30829,79978,FL
E,9718426,30830,1452902,CA
E,9718429,30831,C00656603,FD
E,9718442,30832,1452376,CA
E,9718450,30833,C2015000298,GA
E,9718456,30834,88-4038253,FD
E,9718466,30836,00086960,TX
E,9718468,30837,C222250,MO
E,9718474,30839,CA0068737,KY
E,9718476,30840,9940664907,NJ
E,9718498,30841,1447501,CA
E,9718521,30844,83526,FL
E,9718525,30845,74808,FL
E,9718556,30847,Pending,CA
E,9718562,30848,83535,FL
E,9718568,30849,C00824649,FD
E,9718569,30850,UNKNOWN,MO
E,9718581,30851,102,FL
E,9718583,30852,79950,FL
E,9718609,30855,970770,CA
E,9718616,30856,143107,CA
E,9718617,30857,7900366,PA
E,9718621,30858,C00654608,FD
E,9718621,30859,20160255,PA
E,9718626,30860,TBD,DC
E,9718627,30861,1444806,CA
E,9718628,30862,1453199,CA
E,9718631,30863,69696,FL
E,9718651,30865,1453491,CA
E,9718658,30866,1453495,CA
E,9718660,30867,1453495,CA
E,9718687,30868,991330,CA
E,9718688,30869,1453743,CA
E,9718689,30870,0501785,WI
E,9718697,30873,870169,CA
E,9718698,30874,20215041767,CO
E,9718703,30875,PENDING,CA
E,9718727,30879,13014523,MD
E,9718733,30880,20200340,PA
E,9718766,30881,COUNF--303,WA
E,9718767,30882,1273122,CA
E,9718781,30883,1384298,CA
E,9718794,30884,19087,GA
E,9718795,30885,C222264,MO
